location,date,vaccine,total_vaccinations
Argentina,7/05/2021,CanSino,8
Argentina,7/05/2021,Oxford/AstraZeneca,1728396
Argentina,7/05/2021,Sinopharm/Beijing,2424222
Argentina,7/05/2021,Sputnik V,5309788
Argentina,8/05/2021,Oxford/AstraZeneca,1732455
Argentina,8/05/2021,Sinopharm/Beijing,2465843
Argentina,8/05/2021,Sputnik V,5338399
Argentina,9/05/2021,Oxford/AstraZeneca,1734195
Argentina,9/05/2021,Sinopharm/Beijing,2469342
Argentina,9/05/2021,Sputnik V,5351858
Argentina,10/05/2021,Oxford/AstraZeneca,1744123
Argentina,10/05/2021,Sinopharm/Beijing,2533524
Argentina,10/05/2021,Sputnik V,5419477
Argentina,11/05/2021,Moderna,12
Argentina,11/05/2021,Oxford/AstraZeneca,1752401
Argentina,11/05/2021,Pfizer/BioNTech,36
Argentina,11/05/2021,Sinopharm/Beijing,2598381
Argentina,11/05/2021,Sputnik V,5486850
Argentina,12/05/2021,Moderna,13
Argentina,12/05/2021,Oxford/AstraZeneca,1758186
Argentina,12/05/2021,Sinopharm/Beijing,2737766
Argentina,12/05/2021,Sputnik V,5539358
Argentina,13/05/2021,Oxford/AstraZeneca,1763890
Argentina,13/05/2021,Sinopharm/Beijing,2886498
Argentina,13/05/2021,Sputnik V,5577120
Argentina,14/05/2021,Oxford/AstraZeneca,1773102
Argentina,14/05/2021,Sinopharm/Beijing,3034872
Argentina,14/05/2021,Sputnik V,5616116
Argentina,15/05/2021,Oxford/AstraZeneca,1776188
Argentina,15/05/2021,Sinopharm/Beijing,3085325
Argentina,15/05/2021,Sputnik V,5657696
Argentina,16/05/2021,Oxford/AstraZeneca,1777663
Argentina,16/05/2021,Sinopharm/Beijing,3128635
Argentina,16/05/2021,Sputnik V,5680519
Argentina,17/05/2021,Oxford/AstraZeneca,1784974
Argentina,17/05/2021,Pfizer/BioNTech,37
Argentina,17/05/2021,Sinopharm/Beijing,3224390
Argentina,17/05/2021,Sputnik V,5764449
Argentina,18/05/2021,Oxford/AstraZeneca,1794773
Argentina,18/05/2021,Sinopharm/Beijing,3269344
Argentina,18/05/2021,Sputnik V,5908003
Argentina,19/05/2021,Oxford/AstraZeneca,1802131
Argentina,19/05/2021,Pfizer/BioNTech,38
Argentina,19/05/2021,Sinopharm/Beijing,3302703
Argentina,19/05/2021,Sputnik V,6035075
Argentina,20/05/2021,Oxford/AstraZeneca,1812643
Argentina,20/05/2021,Sinopharm/Beijing,3337991
Argentina,20/05/2021,Sputnik V,6171938
Argentina,21/05/2021,Oxford/AstraZeneca,1821854
Argentina,21/05/2021,Sinopharm/Beijing,3416220
Argentina,21/05/2021,Sputnik V,6261823
Argentina,22/05/2021,Oxford/AstraZeneca,1823380
Argentina,22/05/2021,Sinopharm/Beijing,3460219
Argentina,22/05/2021,Sputnik V,6316766
Argentina,23/05/2021,Oxford/AstraZeneca,1823798
Argentina,23/05/2021,Sinopharm/Beijing,3483099
Argentina,23/05/2021,Sputnik V,6338746
Argentina,24/05/2021,Oxford/AstraZeneca,1824981
Argentina,24/05/2021,Pfizer/BioNTech,39
Argentina,24/05/2021,Sinopharm/Beijing,3502593
Argentina,24/05/2021,Sputnik V,6406464
Argentina,25/05/2021,Oxford/AstraZeneca,1847064
Argentina,25/05/2021,Sinopharm/Beijing,3505775
Argentina,25/05/2021,Sputnik V,6444637
Argentina,26/05/2021,Oxford/AstraZeneca,1873946
Argentina,26/05/2021,Sinopharm/Beijing,3539365
Argentina,26/05/2021,Sputnik V,6537330
Argentina,27/05/2021,Oxford/AstraZeneca,1919425
Argentina,27/05/2021,Sinopharm/Beijing,3572627
Argentina,27/05/2021,Sputnik V,6628069
Argentina,28/05/2021,Oxford/AstraZeneca,2011818
Argentina,28/05/2021,Sinopharm/Beijing,3601542
Argentina,28/05/2021,Sputnik V,6752938
Argentina,29/05/2021,Oxford/AstraZeneca,2121764
Argentina,29/05/2021,Pfizer/BioNTech,40
