location,date,source_url
England,10/11/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,11/11/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,12/11/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,13/11/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,14/11/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,15/11/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,16/11/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,17/11/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,18/11/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,19/11/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,20/11/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,21/11/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,22/11/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,23/11/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,24/11/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,25/11/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,26/11/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,27/11/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,28/11/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,29/11/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,30/11/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,1/12/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,2/12/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,3/12/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,4/12/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,5/12/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,6/12/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,7/12/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,8/12/2021,https://coronavirus.data.gov.uk/details/vaccinations
England,9/12/2021,https://coronavirus.data.gov.uk/details/vaccinations
